age,weight_kg,height_cm,gender,activity_level,bmi,calories_needed
56,95.64862718713066,161.02432412873097,0,1.9,36.88890561737761,3069
46,71.8503639687513,163.68923545812044,0,1.725,26.81567490924019,2461
32,77.93321622959778,173.559605258577,1,1.55,25.87171938866523,2749
60,110.0590377745894,165.56017399837864,0,1.2,40.15262688942139,2052
25,50.63212828906852,171.60963889336162,0,1.55,17.192650239409485,1990
38,91.18888433384238,190.53856439691683,0,1.55,25.117483453936618,2519
56,91.90997860700753,187.97307567517078,1,1.55,26.011857725649094,2988
36,77.76618434404934,180.2015951391993,1,1.9,23.94823595382604,3500
40,66.59194999758353,189.32481577004415,0,1.9,18.57832888037367,2779
28,66.42718267830858,186.35089556068996,1,1.375,19.12858587646357,2483
28,111.85967687625268,172.15939727363562,1,1.2,37.74088617499871,2690
41,80.94170616480002,163.0426060819978,1,1.725,30.44879691712574,2814
53,73.16225540924204,175.56804160037356,1,1.55,23.735378174586987,2569
57,81.41443016819821,184.449155301142,1,1.2,23.930294656489046,2050
41,96.8573281021553,172.45678394918372,1,1.2,32.56656240567354,2457
20,60.20295977713262,181.67087639135588,0,1.375,18.240940243758025,1933
39,81.46036846496163,158.77309705164174,1,1.725,32.31413519357031,3000
19,91.15190597772708,184.92018945485614,1,1.55,26.65612981382894,3174
41,116.40083483960036,187.50854479572249,0,1.725,33.10655325022728,3340
61,67.67694474527934,183.27351423122164,0,1.375,20.148435505968045,1954
47,75.14755235413719,193.69054350105463,0,1.9,20.03078659469253,2966
55,76.55510129456967,188.0660822984256,0,1.2,21.64478021105287,1805
19,92.38767103514179,191.12374911506154,1,1.55,25.292089342090367,3199
38,74.97124371280012,192.34284333830593,1,1.9,20.264815399760227,3478
50,87.3458347709787,187.05391967495234,1,1.375,24.96367807594468,2657
29,104.72532308915206,181.97035368025996,1,1.725,31.626448869089195,3711
39,99.37699158785425,155.22874325443158,0,1.2,41.24217516921822,1942
61,81.245805255881,173.633030128925,1,1.55,26.94860314178562,2664
42,110.49513243719183,177.84649194489444,1,1.9,34.93433983293508,4132
44,89.0698174715704,167.16121089791997,0,1.9,31.87568639318484,2967
59,87.79340876515488,167.7241778761389,1,1.2,31.208332770959654,2103
45,52.393143615741074,193.4463766284066,1,1.725,14.000813097488537,2472
33,119.06850862500131,190.66843460810983,1,1.375,32.7521121125454,3328
32,58.60795659707387,188.96716022006817,1,1.725,16.41284645174144,2724
64,66.17916386993527,171.24047206824443,0,1.725,22.568798705493514,2238
61,53.618778606906886,155.5479420163566,0,1.725,22.160950200904153,2091
20,94.80020767858396,158.20888985822856,0,1.2,37.874553570380286,1875
54,65.7290823880876,167.48785472870415,0,1.2,23.4310056888608,1652
24,62.60073062309065,155.62971651982707,0,1.375,25.846060060426392,2007
38,56.198890895626896,155.68599127660792,1,1.725,23.186151659224972,2318
26,57.231626998681094,191.66413206569644,1,1.2,15.579531681579203,2027
56,90.9269490309812,183.24634008476215,0,1.375,27.07833770554962,2141
35,98.17455061066168,167.35823960272612,0,1.375,35.05134794823836,2315
21,77.81652919250807,160.3057831040381,0,1.725,30.281227517654607,2651
42,83.59279571144512,175.46542871580309,1,1.55,27.150993545797427,2884
31,98.01774151880889,155.21384643417457,0,1.725,40.68588511384327,2793
26,51.216585312983575,192.53654975432576,1,1.55,13.816061253365287,2535
43,72.61914599491949,171.5926047755579,1,1.375,24.663460026360255,2231
19,118.11684236492425,171.0933982094933,1,1.2,40.35016583212134,2909
37,90.60785607868276,170.62374430327128,1,1.9,31.12339166127211,3673
45,67.79572059282452,157.7731332155106,0,1.375,27.2355519249453,1893
64,86.52110326453491,180.53288959167307,1,1.2,26.546629077946257,2052
24,73.98574416846408,184.32014478513415,1,1.375,21.777220106587784,2612
61,87.25714921784093,182.0450159035316,0,1.725,26.32954982425153,2639
25,58.801905826465415,160.53741973317577,1,1.55,22.815965179074418,2273
64,59.29002576734942,178.1536067214237,1,1.375,18.680667951975224,1959
52,60.0479653427575,177.77937936689014,1,1.2,18.99920920726551,1752
31,115.78738543487893,189.7364315176553,0,1.725,32.163239951008045,3510
34,101.30292428389393,170.16510633502588,1,1.9,34.984926295476605,3926
53,61.36673262636246,169.85943774637738,1,1.725,21.26932151244931,2405
57,63.1844358635921,179.74108234872742,0,1.55,19.55759313938315,2101
21,101.15806324096134,180.32290613998052,0,1.725,31.109906785822474,3156
19,60.931469135452176,173.77140909303162,1,1.9,20.178319955097226,3048
23,66.419290533438,172.72237449321685,1,1.2,22.26368417872381,2078
59,117.43427829742794,174.76590682551532,0,1.375,38.44868169419564,2648
21,67.87145673099023,189.44181198013248,1,1.55,18.91191435962315,2750
46,96.31426452598028,173.4466760501564,0,1.9,32.01537918036788,3107
35,118.50419011803713,192.5972716787929,1,1.55,31.947247424725433,3710
43,76.20077369978549,175.16015054385304,0,1.725,24.836406614839518,2643
61,51.226119360344356,192.96802772723566,1,1.55,13.756905087283041,2119
51,67.0903103295662,188.31327607476302,0,1.9,18.91898892916028,2813
27,108.16140339391939,169.49725290463317,0,1.375,37.64844003591992,2605
53,110.52261851685257,189.54565685186463,0,1.375,30.762632008768726,2424
31,103.79635551666539,159.4025313680446,0,1.55,40.849963908674255,2699
48,57.917687335360114,192.0018870137206,0,1.2,15.71086938458221,1533
32,105.68572601874823,180.26574060331566,1,1.55,32.52295070384375,3482
25,114.3074457895453,157.17562994089243,1,1.725,46.270490276738116,3691
31,92.04266797823652,180.77026894603247,0,1.375,28.166649559837303,2268
40,115.86127494366454,193.96990616579023,1,1.375,30.79424720301084,3182
57,107.87872185983142,157.79202618458515,1,1.375,43.32770507257408,2750
38,96.6880061893635,177.18750839120347,1,1.2,30.796857422886998,2380
33,90.40296656982237,184.9117739903749,1,1.2,26.439519111952258,2370
62,74.40015670693793,187.41034346798125,1,1.9,21.18296443642187,3074
35,61.15012116699636,171.55309861283183,1,1.55,20.77782998997883,2388
64,92.34677458833785,163.16666236672972,0,1.55,34.68637151791976,2273
41,72.26780875326837,156.69369115089535,1,1.725,29.43349703764094,2642
43,110.65070672693518,178.18904628388898,1,1.375,34.849149647032235,3134
42,119.53358561510399,173.11644281070443,1,1.2,39.885340852523555,2770
62,102.66994338309007,192.94977580598845,0,1.725,27.577491916212352,3038
58,56.33371867009355,157.42419630859638,1,1.725,22.731361621981975,2194
46,70.20799168714467,182.41581373784024,1,1.2,21.098985826099987,1960
32,57.63767422360248,155.9986488848023,1,1.55,23.68453017577802,2249
62,95.5358153454201,161.8573670684217,0,1.375,36.46710365682439,2208
18,103.56336051890493,173.14315999691337,1,1.55,34.54581599374419,3484
42,114.79723816164983,173.19489771211474,0,1.725,38.27024587767285,3204
24,80.67206424883913,182.42802171734576,1,1.375,24.24041622489989,2700
26,113.0962954711911,191.40852139471028,0,1.9,30.86923328363428,3552
41,111.45238113289292,180.56128635659684,0,1.725,34.18535319292445,3279
18,72.2037001735779,193.14140391406036,0,1.55,19.35569126963293,2501
61,110.82304378783996,190.2646255951199,1,1.55,30.613569616651628,3361
25,76.29705763172085,178.3799918212316,0,1.55,23.978141046511308,2424
41,70.78084921921966,188.3516780367531,0,1.2,19.95155646031105,1703
28,95.43522611560752,180.70310441294535,0,1.725,29.226545068853483,3078
34,72.98668595195568,158.1423132369491,0,1.375,29.184178307474962,1894
25,94.1146123830401,184.6225889303804,1,1.55,27.611333685874577,3212
52,92.68822638490862,158.79633765069386,1,1.55,36.75730042606539,2720
52,89.44072491439212,178.7633112227885,1,1.2,27.988429483093796,2205
50,76.62937929629584,183.10560823432917,1,1.375,22.855567816816055,2414
22,88.39498051560338,157.66110432843422,0,1.725,35.56136935885885,2821
59,91.75398324897951,164.23178615706126,1,1.9,34.01813455357603,3389
56,88.19808219468314,191.62688929046598,0,1.2,24.0185199660474,1996
58,81.1093616925841,179.65257968931584,1,1.725,25.13067004636794,2897
45,51.02669399323847,164.85144075242127,1,1.9,18.776383078178124,2437
24,91.09431953908057,182.62719084592027,1,1.55,27.31243484559045,3285
26,61.79110695999037,178.87105679846758,0,1.55,19.312826089336625,2257
25,94.98031782630328,175.06302799671795,1,1.375,30.99165340433117,2871
29,103.15410295460062,194.04747899952335,1,1.9,27.39494904078765,4290
51,85.0311716391519,182.33815109630035,1,1.55,25.575437389825286,2714
50,87.96545654858168,170.0176443867165,0,1.55,30.431556896813785,2374
40,116.60349917661938,187.00293728307471,1,1.375,33.34377196609059,3221
41,109.30171529608019,190.38333171684752,1,1.725,30.155680411783557,3687
54,113.99655611660289,160.00882238067325,0,1.55,44.524994392048924,2716
52,106.96364018237105,163.02211911381065,0,1.2,40.247888945869626,1990
61,57.6242839292712,163.6490803651112,1,1.2,21.516835689004115,1648
57,60.42942991791363,182.6484723754616,1,1.725,18.114085308493223,2530
39,86.86366580882716,179.12158220213132,1,1.9,27.073370081459426,3686
44,67.22487611585987,179.75966258794352,0,1.375,20.803936624200812,1970
52,83.36868325288114,192.63093198758003,0,1.2,22.46730031715501,1899
18,77.60557266728452,186.03646131229223,0,1.2,22.423157530932567,1971
52,88.45899669013173,160.11747698047134,1,1.725,34.503609732762584,2972
54,102.28130012950758,168.90028329700723,0,1.9,35.85382412660235,3412
64,100.08436349694921,172.41574584702943,1,1.9,33.66761724306277,3661
31,86.4863892739734,170.8384635499042,0,1.725,29.633056718972384,2747
